Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition
Suzuki,Baleno,2005,109000,1380000,Petrol,Islamabad,Original,Local,Manual,Used
FAW,X-PV,2016,156000,875000,Petrol,Multan,Original,Imported,Manual,Used
Daihatsu,Mira,2013,60000,2200000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Corolla XLI,2017,300000,2720000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Alto,2023,15000,2900000,Petrol,Punjab,Original,Local,Automatic,Used
Daihatsu,Mira,2011,82356,2010000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Bolan,2014,80000,1130000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Alto,2003,90000,680000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Hijet,2016,123456,1850000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Cuore,2010,70000,830000,Petrol,Karachi,Original,Local,Manual,Used
Mitsubishi,Ek Wagon,2013,83000,2000000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Swift,2022,13000,4750000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Baleno,2004,249000,900000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Wagon R,2012,120000,2100000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Bolan,2007,50000,850000,Petrol,Rawalpindi,Original,Imported,Manual,Used
Toyota,Passo,2018,80000,3750000,Petrol,Islamabad,Original,Imported,Automatic,Used
Toyota,Corolla XLI,2011,123456,2070000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Altis Grande,2014,150000,3300000,Petrol,Sindh,Original,Imported,Manual,Used
Mercedes,E Class,2003,120000,3600000,Petrol,Sindh,Original,Imported,Automatic,Used
Honda,City IDSI,2006,152000,1700000,Petrol,Karachi,Original,Local,Manual,Used
Hyundai,Santro,2002,100000,650000,Petrol,Sindh,Original,Local,Manual,Used
Daihatsu,Move,2021,100000,2900000,Petrol,Punjab,Original,Imported,Automatic,Used
Honda,City IDSI,2001,40000,950000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Hijet,2011,150000,2300000,Petrol,Islamabad,Original,Imported,Automatic,Used
Toyota,Corolla XLI,2007,250000,1350000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Yaris,2022,22000,5000000,Petrol,Punjab,Original,Imported,Automatic,Used
Toyota,Corrolla Altis,2010,105000,2350000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Cultus VXR,2005,95000,950000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,City Aspire,2019,60500,3950000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Ravi,2017,60000,1500000,Petrol,Islamabad,Original,Imported,Manual,Used
Suzuki,Swift,2013,99000,1820000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Alto,2022,7300,2815000,Petrol,Karachi,Original,Local,Automatic,Used
Mitsubishi,Lancer,2005,112233,1200000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Swift,2016,123000,2200000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Baleno,2005,75000,560000,Petrol,Karachi,Duplicate,Local,Manual,Used
Daihatsu,Cuore,2011,35000,1200000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Wagon R,2018,93575,1925000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Baleno,2003,99999,930000,Petrol,Faisalabad,Original,Local,Manual,Used
Changan,Karvaan,2022,7000,2200000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2019,50000,2500000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla XLI,2020,48000,4300000,Petrol,Islamabad,Original,Local,Automatic,Used
Toyota,Corolla GLI,2019,60000,2195000,Petrol,Islamabad,Original,Local,Manual,Used
FAW,X-PV,2014,150000,900000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Yaris,2021,42000,4100000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Bolan,2009,100000,860000,Petrol,Rawalpindi,Original,Local,Manual,Used
Suzuki,Mehran VXR,2011,35000,530000,Petrol,Multan,Original,Local,Manual,Used
Honda,City IVTEC,2010,210000,2490000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Mira,2012,100000,2070000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Hijet,2017,5700,1150000,Petrol,Islamabad,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2012,105000,2650000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Swift,2016,74000,2225000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Swift,2019,62000,2690000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2021,8000,2900000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Bolan,2015,46500,850000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2008,84512,745000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Corolla XLI,2007,150000,1650000,Petrol,Multan,Original,Local,Manual,Used
Honda,City IDSI,2005,95000,1625000,Petrol,Islamabad,Original,Imported,Manual,Used
Chevrolet,Joy,2009,107000,900000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,Civic Oriel,2017,90000,4850000,Petrol,Lahore,Original,Local,Automatic,Used
Toyota,Yaris,2021,20000,4380000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Every,2021,15654,3270000,Petrol,Unregistered,Original,Imported,Automatic,Used
Hyundai,Santro,2003,123456,825000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Alto,2004,100000,480000,CNG,Karachi,Original,Local,Manual,Used
KIA,Classic,2000,12345,450000,Petrol,Karachi,Original,Local,Manual,Used
KIA,Spectra,2002,120000,550000,CNG,Karachi,Original,Imported,Manual,Used
Suzuki,Mehran VXR,2012,70000,820000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Move,2012,77000,2275000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Alto,2021,70000,2350000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Mehran VXR,2006,1234,545000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2018,122000,2100000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Hijet,2018,130000,1395000,Petrol,Karachi,Original,Imported,Automatic,Used
Honda,City IVTEC,2019,43000,4200000,Petrol,Islamabad,Original,Local,Automatic,Used
Hyundai,Santro,2007,90000,1055000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2001,12378,580000,Petrol,Faisalabad,Original,Imported,Manual,Used
Honda,Civic Prosmetic,2010,92000,2600000,Petrol,Bahawalpur,Original,Local,Automatic,Used
Suzuki,Cultus VXR,2008,85421,836999,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Bolan,2014,95500,840000,Petrol,Karachi,Original,Local,Manual,Used
FAW,V2,2018,75000,1550000,Petrol,Islamabad,Original,Imported,Manual,Used
Toyota,Corolla GLI,2009,250000,2225000,Petrol,Multan,Original,Local,Manual,Used
Hyundai,Santro,2006,80000,970000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2016,94000,3000000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla XLI,2008,150000,2100000,Petrol,Islamabad,Original,Local,Manual,Used
Toyota,Corolla GLI,2012,230000,2400000,Petrol,Sindh,Original,Local,Manual,Used
Suzuki,Wagon R,2015,83000,1680000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Cultus VXR,2015,115000,1625000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2004,177100,750000,Petrol,Sindh,Original,Imported,Manual,Used
Hyundai,Santro,2005,95000,910000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2005,1234,800000,Petrol,Faisalabad,Original,Imported,Manual,Used
KIA,Picanto,2021,18000,3100000,Petrol,Lahore,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2014,180000,2900000,Petrol,Punjab,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2011,82000,2550000,Petrol,Sindh,Original,Local,Manual,Used
Mitsubishi,Ek Wagon,2015,50000,2080000,Petrol,Sindh,Original,Imported,Automatic,Used
Honda,City Vario,2006,160000,1580000,Petrol,Sindh,Original,Local,Automatic,Used
Suzuki,Every,2010,200000,1450000,Petrol,Lahore,Original,Imported,Automatic,Used
KIA,Picanto,2021,65000,2700000,Petrol,Punjab,Original,Local,Automatic,Used
Changan,Karvaan,2022,12700,2600000,Petrol,Hyderabad,Original,Local,Manual,Used
Suzuki,Bolan,2019,60700,1375000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2021,29400,4050000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Cuore,2007,245128,780000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City Vario,2005,223000,1725000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Ravi,2005,100000,290000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Bolan,2008,55000,720000,CNG,Islamabad,Original,Imported,Manual,Used
Suzuki,Bolan,2009,91000,950000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Mira,2015,70000,1920000,Petrol,Karachi,Original,Imported,Automatic,Used
Hyundai,Santro,2006,153000,950000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Mehran VXR,2006,123456,499999,Petrol,Karachi,Original,Local,Manual,Used
Hyundai,Santro,2003,194857,720000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Swift,2021,41000,3350000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2006,100000,500000,Petrol,Rahimyar Khan,Original,Local,Manual,Used
Honda,City IVTEC,2017,160000,3300000,Petrol,Islamabad,Original,Local,Manual,Used
Honda,Civic Oriel,2005,130000,1575000,Petrol,Lahore,Original,Imported,Manual,Used
Hyundai,Santro,2005,120000,985000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2018,66000,4250000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Swift,2013,110000,1590000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Bolan,2017,58000,1099000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Alto,2021,22000,2370000,Petrol,Lahore,Original,Local,Manual,Used
Mitsubishi,Lancer,2005,139000,1350000,Petrol,Faisalabad,Original,Imported,Automatic,Used
Suzuki,Mehran VXR,2017,78000,1115000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Altis Grande,2018,71500,4900000,Petrol,Karachi,Original,Local,Automatic,Used
Toyota,Passo,2006,90000,1590000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Yaris,2021,36000,3800000,Petrol,Punjab,Original,Local,Manual,Used
Mitsubishi,Minicab Bravo,2013,90000,1050000,Petrol,Islamabad,Original,Imported,Manual,Used
Suzuki,Alto,2017,48000,2800000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Bolan,2001,76240,550000,Petrol,Hyderabad,Original,Imported,Manual,Used
Honda,City IVTEC,2022,3700,4600000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2008,40000,530000,Petrol,Punjab,Original,Local,Manual,Used
Toyota,Corolla Assista,2004,166000,2600000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2007,100000,735000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City Vario,2004,108000,1400000,Petrol,Karachi,Original,Local,Automatic,Used
Hyundai,Santro,2008,111000,965000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Alto,2010,178526,1000000,CNG,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2005,300000,580000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Alto,2020,40500,2525000,Petrol,Lahore,Original,Local,Automatic,Used
Toyota,Yaris,2020,48000,4175000,Petrol,Karachi,Original,Local,Automatic,Used
Daihatsu,Mira,2010,109621,1660000,Petrol,Lahore,Original,Imported,Automatic,Used
Hyundai,Santro,2004,186000,1275000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Yaris,2020,36000,4500000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,City IVTEC,2010,165000,2325000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Prosmetic,2007,142000,1790000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,Civic Prosmetic,2008,130741,1740000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,City IVTEC,2017,58000,3480000,Petrol,Islamabad,Original,Local,Manual,Used
Honda,City IVTEC,2016,53600,3800000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IDSI,2008,200000,1620000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City IDSI,2003,12345,1315000,Petrol,Lahore,Original,Local,Automatic,Used
Chevrolet,Joy,2006,1234,625000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Wagon R,2019,110000,2450000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Bolan,2017,65000,1350000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2011,120000,2860000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Wagon R,2021,47000,2600000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2001,10000,745000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Wagon R,2018,119000,1900000,Petrol,Multan,Original,Local,Manual,Used
Daihatsu,Cuore,2008,1234,695000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2016,50000,1800000,Petrol,Karachi,Original,Local,Manual,Used
Hyundai,Santro,2006,75000,847000,Petrol,Faisalabad,Original,Local,Manual,Used
Mercedes,E Class,2002,80000,3500000,Petrol,Islamabad,Original,Imported,Automatic,Used
Honda,City IDSI,2005,100500,1475000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Mira,2018,99000,2340000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Mira,2014,100000,2050000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Cuore,2007,95000,650000,Petrol,Karachi,Original,Local,Manual,Used
Changan,Alsvin,2021,21600,3500000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Passo,2007,210000,1840000,Petrol,Punjab,Original,Imported,Automatic,Used
Toyota,Corolla XLI,2011,150000,2375000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Baleno,2003,100000,870000,Petrol,Karachi,Original,Local,Manual,Used
Hyundai,Santro,2007,169500,895000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Bolan,2018,12345,1280000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Corrolla Altis,2015,145000,3400000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Swift,2017,71000,2200000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Passo,2020,18830,4300000,Petrol,Unregistered,Original,Imported,Automatic,Used
Honda,Civic Oriel,2017,75000,4790000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Wagon R,2021,21000,2729000,Petrol,Punjab,Original,Local,Manual,Used
Honda,City IDSI,2006,28005,1600000,Petrol,Karachi,Original,Local,Manual,Used
Changan,Karvaan,2022,2400,2750000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Yaris,2021,32000,4700000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2003,150000,550000,CNG,Lahore,Original,Local,Manual,Used
Suzuki,Cultus VXR,2003,69000,825000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Alto,2014,44000,2300000,Petrol,Karachi,Original,Imported,Automatic,Used
Hyundai,Santro,2005,150000,775000,Petrol,Lahore,Original,Imported,Manual,Used
KIA,Classic,2002,150000,700000,CNG,Lahore,Original,Imported,Manual,Used
Mercedes,E Class,2000,159123,1875000,Petrol,Islamabad,Original,Imported,Automatic,Used
Suzuki,Alto,2008,45000,870000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Oriel,2017,105000,4630000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2017,60000,1200000,Petrol,Chishtian Mandi,Original,Local,Manual,Used
Toyota,Passo,2011,100000,2150000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Yaris,2021,45000,3750000,Petrol,Punjab,Original,Local,Automatic,Used
Suzuki,Bolan,2010,1234,980000,CNG,Karachi,Original,Local,Manual,Used
Suzuki,Bolan,2010,10000,640000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Cuore,2007,150000,850000,Petrol,Karachi,Original,Local,Automatic,Used
Daihatsu,Hijet,2011,73000,1335000,Petrol,Karachi,Original,Imported,Automatic,Used
Honda,Civic Oriel,2010,110000,2350000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IVTEC,2012,67000,2975000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IDSI,2004,150000,1350000,Petrol,Sindh,Original,Local,Manual,Used
Honda,City IVTEC,2017,92000,3350000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Ravi,2011,94563,720000,Petrol,Karachi,Original,Imported,Manual,Used
Honda,City IDSI,2002,100000,980000,Petrol,Lahore,Original,Local,Manual,Used
Mercedes,C Class,2004,95000,3000000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Swift,2013,121000,1600000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Yaris,2021,42000,4000000,Petrol,Lahore,Original,Local,Manual,Used
FAW,X-PV,2017,70000,850000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Move,2014,99000,2095000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2018,123456,3750000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2006,120000,900000,Petrol,Faisalabad,Original,Local,Manual,Used
Toyota,Corolla GLI,2013,200000,2650000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Corolla XLI,2007,150000,1800000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2004,100000,1430000,Petrol,Karachi,Original,Imported,Manual,Used
Honda,City Aspire,2017,67000,3450000,Petrol,Karachi,Original,Local,Automatic,Used
Daihatsu,Mira,2016,82000,2800000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Mehran VXR,2014,10000,900000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Alto,2005,150000,700000,CNG,Rawalpindi,Original,Local,Manual,Used
Suzuki,Wagon R,2018,49000,2240000,Petrol,Islamabad,Original,Local,Manual,Used
Honda,City Aspire,2017,62000,3650000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City Vario,2005,154000,1670000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2014,56000,930000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Oriel,2004,20000,1550000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,City Aspire,2016,75000,3650000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Swift,2022,10000,4280000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Cultus VXR,2012,82500,1235000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2010,100000,900000,Petrol,Karachi,Original,Imported,Manual,Used
Honda,Civic Oriel,2010,95000,2700000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IVTEC,2016,99000,3395000,Petrol,Islamabad,Original,Local,Automatic,Used
Toyota,Corrolla Altis,2017,110000,4600000,Petrol,Sindh,Original,Local,Automatic,Used
Suzuki,Bolan,2013,16000,800000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Hijet,2013,165280,1350000,Petrol,Lahore,Original,Imported,Automatic,Used
KIA,Picanto,2021,43000,2975000,Petrol,Karachi,Original,Local,Automatic,Used
Daihatsu,Mira,2014,92000,2075000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Alto,2004,125000,650000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Move,2013,117000,1625000,Petrol,Lahore,Original,Imported,Automatic,Used
Toyota,Passo,2018,80000,3725000,Petrol,Sindh,Original,Imported,Automatic,Used
Suzuki,Wagon R,2015,134000,1750000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Swift,2014,120000,1940000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City Vario,2000,20000,820000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Hijet,2011,95500,1025000,Petrol,Lahore,Original,Imported,Automatic,Used
KIA,Picanto,2021,42386,2950000,Petrol,Multan,Original,Local,Manual,Used
Daihatsu,Mira,2012,145000,2300000,Petrol,Rawalpindi,Original,Imported,Automatic,Used
Toyota,Corolla XLI,2010,130000,1890000,Petrol,Karachi,Original,Local,Manual,Used
Mercedes,C Class,2004,100000,2250000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Mehran VXR,2018,90000,1180000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2018,73000,2300000,Petrol,Lahore,Original,Local,Manual,Used
KIA,Picanto,2022,27000,3280000,Petrol,Punjab,Original,Local,Automatic,Used
Mitsubishi,Lancer,2005,120000,1025000,Petrol,Faisalabad,Original,Local,Manual,Used
Suzuki,Bolan,2021,5000,1785000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Hijet,2019,70000,2600000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Passo,2012,65000,2070000,Petrol,Sindh,Original,Imported,Automatic,Used
Suzuki,Alto,2006,75000,575000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Alto,2021,42000,2500000,Petrol,Punjab,Original,Local,Automatic,Used
Honda,Civic Prosmetic,2006,120000,1325000,Petrol,Karachi,Original,Local,Automatic,Used
Toyota,Corrolla Altis,2018,60000,4775000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Cuore,2008,87000,930000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Mira,2016,94000,2385000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Mehran VXR,2017,70000,1180000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Hijet,2012,72000,1195000,Petrol,Lahore,Original,Imported,Automatic,Used
Daihatsu,Cuore,2007,130000,960000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Alto,2006,100057,1100000,Petrol,Karachi,Original,Imported,Automatic,Used
FAW,X-PV,2013,183000,600000,Petrol,Chiniot,Original,Imported,Manual,Used
Toyota,Corolla GLI,2010,10880,2375000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2011,225000,2300000,Petrol,Karachi,Original,Imported,Manual,Used
Daihatsu,Mira,2007,200000,750000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Move,2020,21995,3425000,Petrol,Unregistered,Original,Imported,Automatic,Used
Honda,Civic Oriel,2004,161500,1425000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2009,140000,2250000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Alto,2021,50000,2675000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IVTEC,2017,90000,3050000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Cuore,2008,111000,800000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Mira,2020,26000,3385000,Petrol,Unregistered,Original,Imported,Automatic,Used
Mitsubishi,Minicab Bravo,2011,64000,1520000,Petrol,Lahore,Original,Imported,Automatic,Used
Mitsubishi,Ek Wagon,2019,30000,3200000,Petrol,Karachi,Original,Imported,Automatic,Used
